order_id,order_name,date,flight_total_cost,campaign_total_cost,total_sales,total_purchases,impressions,clicks
,+orderName+,2/24/2026,2188.000000,2188.000000,39924.00,116,529696,271
,+orderName+,2/25/2026,2214.000000,2214.000000,38184.00,160,471388,252
,+orderName+,2/26/2026,2200.000000,2200.000000,38323.00,130,557338,297
,+orderName+,2/27/2026,2200.000000,2200.000000,21471.00,99,755500,313
,+orderName+,2/28/2026,2220.000000,2220.000000,22390.00,80,746703,305
,+orderName+,3/1/2026,2190.000000,2190.000000,21995.00,92,850101,294
,+orderName+,3/2/2026,2200.000000,2200.000000,36729.00,134,976249,277
,+orderName+,3/3/2026,2182.000000,2182.000000,23498.00,140,769945,357
,+orderName+,3/4/2026,2179.000000,2179.000000,26910.00,112,605748,741
,+orderName+,3/5/2026,2095.000000,2095.000000,14139.00,101,827589,1086
,+orderName+,3/6/2026,2524.000000,2524.000000,11843.00,99,627558,652
,+orderName+,3/7/2026,1607.000000,1607.000000,15681.00,74,455236,470
,+orderName+,3/8/2026,1378.000000,1378.000000,7465.00,51,264980,315
,+orderName+,3/9/2026,2031.000000,2031.000000,18206.00,91,548981,414
,+orderName+,3/10/2026,2399.000000,2399.000000,16591.00,102,601965,430
,+orderName+,3/11/2026,2328.000000,2328.000000,23116.00,125,492837,319
,+orderName+,3/12/2026,2211.000000,2211.000000,25603.00,96,480082,360
,+orderName+,3/13/2026,2238.000000,2238.000000,31388.00,144,568671,464
,+orderName+,3/14/2026,2201.000000,2201.000000,22951.00,115,601098,961
,+orderName+,3/15/2026,2198.000000,2198.000000,26889.00,112,587422,709
,+orderName+,3/16/2026,2216.000000,2216.000000,42503.00,117,671964,491
,+orderName+,3/17/2026,2186.000000,2186.000000,20819.00,127,1226696,773
,+orderName+,3/18/2026,2194.000000,2194.000000,25417.00,123,1159002,751
,+orderName+,3/19/2026,2204.000000,2204.000000,23612.00,117,950841,455
,+orderName+,3/20/2026,2201.000000,2201.000000,27678.00,150,1049298,579
,+orderName+,3/21/2026,2184.000000,2184.000000,13816.00,95,479927,357
,+orderName+,3/22/2026,2194.000000,2194.000000,14260.00,87,762799,650
,+orderName+,3/23/2026,2079.000000,2079.000000,17795.00,104,617985,379
,+orderName+,3/24/2026,2161.000000,2161.000000,18885.00,108,888699,304
,+orderName+,3/25/2026,2225.000000,2225.000000,18651.00,113,773564,385
,+orderName+,3/26/2026,2245.000000,2245.000000,15705.00,100,909295,394
,+orderName+,3/27/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,3/28/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,3/29/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,3/30/2026,0.000000,0.000000,0.00,0,0,0
,+orderName+,3/31/2026,0.000000,0.000000,0.00,0,0,0
