Date,Advertiser account ID,Advertiser account name,Entity ID,Type,Campaign ID,Campaign name,Budget currency,Impressions,Clicks,Total cost,Purchases (combined),Sales (combined)
13-Feb-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,382929702717487,B00429N18S_SD_Awareness_AUDT-Complementary category views remarketing_vcpm_20251230,USD,0,0,0,0,0
14-Dec-25,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,300358990869228,B.Keyword.Store.SB.UPS.StoreSpotlight,USD,437,6,8.08,13,1586.81
14-Jan-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,382929702717487,B00429N18S_SD_Awareness_AUDT-Complementary category views remarketing_vcpm_20251230,USD,0,0,0,0,0
3-Jan-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,293529288726869,B.Keyword.Video.SB.UPS.PFCSinewave.CP1500PFCLCD.B00429N19W,USD,0,0,0,0,0
6-Jan-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,441244082318393,B00429N18S_SD_Awareness_CXT-Complementary category_vcpm_20251230,USD,24281,23,106.5,3,594.92
12-Feb-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,496257674867474,N.Keyword.Video.SB.UPS.PFCSinewave.2026.CP1500PFCLCD.B00429N19W,USD,3516,9,16.22,3,719.85
19-Feb-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,422752340317837,B.Keyword.Store.SB.UPS.2026.StoreSpotlight,USD,62080,136,373.91,16,3382.18
7-Jan-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,339355478634336,B00429N18S_SD_Consideration_AUDT-Competitive brands views remarketing_cpc_20251230,USD,54008,39,163.23,0,0
6-Dec-25,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,335733425531216,N.Keyword.Video.SB.UPS.PFCSinewave.CP1500PFCLCD.B00429N19W,USD,4837,33,94.09,3,647.85
29-Jan-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,413728361555554,B00429N18S_SD_Consideration_CXT-Competitive products recommended by Xnurta_cpc_20251230,USD,334,0,0,0,0
14-Dec-25,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,401081905525372,C.Competitor.Consumer.SD.UPS.PFCSineWave.CP1500PFCRM2U.B0B354X985,USD,19071,47,99.06,2,599.9
17-Dec-25,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,425328024590643,C.Keyword.Products.SB.UPS.1500units,USD,13700,69,150.37,12,3025.15
13-Dec-25,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,287421757846510,C.Keyword.Consumer.SD.UPS.PFCSineWave.CP1500PFCRM2U.B0B354X985,USD,11610,22,48.41,0,0
26-Jan-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,382929702717487,B00429N18S_SD_Awareness_AUDT-Complementary category views remarketing_vcpm_20251230,USD,0,0,0,0,0
27-Dec-25,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,490434522578484,C.Keyword.Video.SB.UPS.PFCSinewave.CP1500PFCLCD.B00429N19W,USD,230,0,0,0,0
5-Jan-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,490434522578484,C.Keyword.Video.SB.UPS.PFCSinewave.CP1500PFCLCD.B00429N19W,USD,0,0,0,0,0
28-Feb-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,263494384088815,C.SD.Product.UPS.Ecologic.EC850LCD.B00DBAA696,USD,83316,66,258.19,8,610.52
14-Dec-25,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,501364882562485,C.Keyword.Video.SB.UPS.IntelligentLCD.CP1500AVRLCD3.B0BCMLLSHL,USD,181,0,0,0,0
22-Dec-25,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,51640494101738,C.Product.Consumer.SP.UPS.PFCSineWave.CP1500PFCRM2U.B0B354X985,USD,317,0,0,0,0
28-Feb-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,436092719312252,B.Keyword.Video.SB.UPS.2026.StoreSpotlight,USD,6568,23,79.18,2,327.42
15-Jan-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,296198269696664,C.SD.Keyword.UPS.IntelligentLCD.CP1500AVRLCD3.B0BCMLLSHL,USD,0,0,0,0,0
26-Jan-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,378661668519490,B00429N18S_SD_Consideration_AUDT-Similar products views remarketing_cpc_20251230,USD,0,0,0,0,0
17-Dec-25,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,501364882562485,C.Keyword.Video.SB.UPS.IntelligentLCD.CP1500AVRLCD3.B0BCMLLSHL,USD,397,0,0,0,0
17-Jan-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,414479380999065,B00429N18S_SD_Defense_CXT-Category-Segmented category brand_vcpm_20251230,USD,0,0,0,0,0
13-Dec-25,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,490434522578484,C.Keyword.Video.SB.UPS.PFCSinewave.CP1500PFCLCD.B00429N19W,USD,187,2,9.6,0,0
16-Dec-25,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,51640494101738,C.Product.Consumer.SP.UPS.PFCSineWave.CP1500PFCRM2U.B0B354X985,USD,103,0,0,0,0
22-Dec-25,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,38365855708871,C.SD.Product.UPS.SmartAppLCD.B000XJLLKG.OR700LCDRM1U,USD,2040,3,7.16,5,1556.7
1-Feb-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,462435011616528,B00429N18S_SD_Consideration_AUDT-Promoted category views remarketing_cpc_20251230,USD,73620,89,454.86,0,0
24-Dec-25,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,38365855708871,C.SD.Product.UPS.SmartAppLCD.B000XJLLKG.OR700LCDRM1U,USD,7403,13,26.29,4,1005.8
14-Jan-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,303378536736811,B00429N18S_SD_Consideration_AUDT-Promoted brand views remarketing_cpc_20251230,USD,0,0,0,0,0
14-Dec-25,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,293529288726869,B.Keyword.Video.SB.UPS.PFCSinewave.CP1500PFCLCD.B00429N19W,USD,73,0,0,0,0
28-Dec-25,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,335733425531216,N.Keyword.Video.SB.UPS.PFCSinewave.CP1500PFCLCD.B00429N19W,USD,7056,78,224.45,12,2659.35
27-Dec-25,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,170474248246250,C.SD.Product.UPS.IntelligentLCD.CP1500AVRLCD3.B0BCMLLSHL,USD,47023,68,126.8,15,1855.89
5-Dec-25,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,425328024590643,C.Keyword.Products.SB.UPS.1500units,USD,9017,40,136.97,3,719.85
4-Dec-25,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,263494384088815,C.SD.Product.UPS.Ecologic.EC850LCD.B00DBAA696,USD,268518,181,999.99,39,7334.34
7-Feb-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,263494384088815,C.SD.Product.UPS.Ecologic.EC850LCD.B00DBAA696,USD,95124,85,499.03,8,1890.6
13-Feb-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,298664655817372,C.Keyword.Video.SB.PFCSinewave.2026.CP1500AVRLCD3,USD,12897,56,108.03,0,0
13-Jan-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,263494384088815,C.SD.Product.UPS.Ecologic.EC850LCD.B00DBAA696,USD,0,0,0,0,0
16-Feb-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,170474248246250,C.SD.Product.UPS.IntelligentLCD.CP1500AVRLCD3.B0BCMLLSHL,USD,43714,70,106.9,2,379.9
2-Jan-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,287421757846510,C.Keyword.Consumer.SD.UPS.PFCSineWave.CP1500PFCRM2U.B0B354X985,USD,0,0,0,0,0
5-Feb-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,339355478634336,B00429N18S_SD_Consideration_AUDT-Competitive brands views remarketing_cpc_20251230,USD,0,0,0,0,0
15-Feb-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,436092719312252,B.Keyword.Video.SB.UPS.2026.StoreSpotlight,USD,7637,52,236.21,12,8588.54
18-Dec-25,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,51640494101738,C.Product.Consumer.SP.UPS.PFCSineWave.CP1500PFCRM2U.B0B354X985,USD,216,2,1.6,0,0
23-Dec-25,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,293529288726869,B.Keyword.Video.SB.UPS.PFCSinewave.CP1500PFCLCD.B00429N19W,USD,62,0,0,0,0
14-Jan-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,362619829731385,B.Keyword.Video.SB.UPS.IntelligentLCD.CP1500AVRLCD3.B0BCMLLSHL,USD,0,0,0,0,0
7-Jan-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,287421757846510,C.Keyword.Consumer.SD.UPS.PFCSineWave.CP1500PFCRM2U.B0B354X985,USD,0,0,0,0,0
2-Jan-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,516203922618177,N.Keyword.Store.SB.UPS.StoreSpotlight,USD,0,0,0,0,0
20-Dec-25,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,516203922618177,N.Keyword.Store.SB.UPS.StoreSpotlight,USD,64173,189,582.08,26,3791.07
8-Jan-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,425759037435957,B00429N18S_SD_Conversion_AUDT-Promoted product views remarketing_cpc_20251230,USD,0,0,0,0,0
19-Feb-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,496257674867474,N.Keyword.Video.SB.UPS.PFCSinewave.2026.CP1500PFCLCD.B00429N19W,USD,3195,20,39.6,4,887.8
19-Dec-25,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,38365855708871,C.SD.Product.UPS.SmartAppLCD.B000XJLLKG.OR700LCDRM1U,USD,1777,1,8.03,1,179.9
21-Jan-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,425759037435957,B00429N18S_SD_Conversion_AUDT-Promoted product views remarketing_cpc_20251230,USD,36593,62,171.65,0,0
5-Feb-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,520121709405886,C.Keyword.Video.SB.PFCSinewave.2026.CP1500PFCLCD,USD,8711,19,38.96,0,0
4-Jan-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,293529288726869,B.Keyword.Video.SB.UPS.PFCSinewave.CP1500PFCLCD.B00429N19W,USD,0,0,0,0,0
10-Feb-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,339355478634336,B00429N18S_SD_Consideration_AUDT-Competitive brands views remarketing_cpc_20251230,USD,0,0,0,0,0
9-Feb-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,520906012389097,B00429N18S_SD_Consideration_CXT-Similar products_cpc_20251230,USD,0,0,0,0,0
3-Dec-25,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,501364882562485,C.Keyword.Video.SB.UPS.IntelligentLCD.CP1500AVRLCD3.B0BCMLLSHL,USD,648,1,4.31,1,905.95
3-Feb-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,425759037435957,B00429N18S_SD_Conversion_AUDT-Promoted product views remarketing_cpc_20251230,USD,0,0,0,0,0
19-Dec-25,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,362619829731385,B.Keyword.Video.SB.UPS.IntelligentLCD.CP1500AVRLCD3.B0BCMLLSHL,USD,2626,16,112.37,2,439.9
28-Dec-25,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,300358990869228,B.Keyword.Store.SB.UPS.StoreSpotlight,USD,565,10,8.51,9,1522.64
6-Feb-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,425759037435957,B00429N18S_SD_Conversion_AUDT-Promoted product views remarketing_cpc_20251230,USD,0,0,0,0,0
8-Feb-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,263494384088815,C.SD.Product.UPS.Ecologic.EC850LCD.B00DBAA696,USD,90944,81,499.73,5,1547.79
13-Feb-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,339355478634336,B00429N18S_SD_Consideration_AUDT-Competitive brands views remarketing_cpc_20251230,USD,0,0,0,0,0
11-Feb-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,263494384088815,C.SD.Product.UPS.Ecologic.EC850LCD.B00DBAA696,USD,46242,40,154.63,3,1140.85
19-Feb-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,263494384088815,C.SD.Product.UPS.Ecologic.EC850LCD.B00DBAA696,USD,94189,57,325.38,5,742.78
8-Jan-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,339355478634336,B00429N18S_SD_Consideration_AUDT-Competitive brands views remarketing_cpc_20251230,USD,0,0,0,0,0
11-Jan-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,382929702717487,B00429N18S_SD_Awareness_AUDT-Complementary category views remarketing_vcpm_20251230,USD,0,0,0,0,0
4-Jan-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,490434522578484,C.Keyword.Video.SB.UPS.PFCSinewave.CP1500PFCLCD.B00429N19W,USD,0,0,0,0,0
21-Dec-25,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,401081905525372,C.Competitor.Consumer.SD.UPS.PFCSineWave.CP1500PFCRM2U.B0B354X985,USD,16231,52,73,2,559.9
13-Jan-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,436092719312252,B.Keyword.Video.SB.UPS.2026.StoreSpotlight,USD,1544,23,57.4,3,682.18
22-Feb-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,422752340317837,B.Keyword.Store.SB.UPS.2026.StoreSpotlight,USD,130208,284,1350.58,23,4602.36
29-Dec-25,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,335733425531216,N.Keyword.Video.SB.UPS.PFCSinewave.CP1500PFCLCD.B00429N19W,USD,10428,89,261.82,17,5287.4
6-Dec-25,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,501364882562485,C.Keyword.Video.SB.UPS.IntelligentLCD.CP1500AVRLCD3.B0BCMLLSHL,USD,379,0,0,0,0
8-Jan-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,414479380999065,B00429N18S_SD_Defense_CXT-Category-Segmented category brand_vcpm_20251230,USD,0,0,0,0,0
16-Jan-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,520121709405886,C.Keyword.Video.SB.PFCSinewave.2026.CP1500PFCLCD,USD,50267,156,1675.95,3,859.8
8-Jan-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,520906012389097,B00429N18S_SD_Consideration_CXT-Similar products_cpc_20251230,USD,0,0,0,0,0
2-Jan-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,38365855708871,C.SD.Product.UPS.SmartAppLCD.B000XJLLKG.OR700LCDRM1U,USD,0,0,0,0,0
11-Dec-25,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,300358990869228,B.Keyword.Store.SB.UPS.StoreSpotlight,USD,499,2,8.22,11,2883.83
19-Jan-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,422752340317837,B.Keyword.Store.SB.UPS.2026.StoreSpotlight,USD,83654,305,4903.56,33,6985.5
3-Dec-25,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,300358990869228,B.Keyword.Store.SB.UPS.StoreSpotlight,USD,736,2,8.4,10,1913.28
11-Dec-25,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,170474248246250,C.SD.Product.UPS.IntelligentLCD.CP1500AVRLCD3.B0BCMLLSHL,USD,24680,25,73.16,5,740.16
8-Jan-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,516203922618177,N.Keyword.Store.SB.UPS.StoreSpotlight,USD,0,0,0,0,0
27-Jan-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,496257674867474,N.Keyword.Video.SB.UPS.PFCSinewave.2026.CP1500PFCLCD.B00429N19W,USD,41300,242,1293.54,14,3709.2
3-Dec-25,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,516203922618177,N.Keyword.Store.SB.UPS.StoreSpotlight,USD,78043,235,667.53,21,2704.54
4-Dec-25,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,288898439745613,B2B - N.Keyword.Products.SB.UPS.1500units,USD,0,0,0,0,0
14-Dec-25,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,425328024590643,C.Keyword.Products.SB.UPS.1500units,USD,9201,41,112.29,9,1919.55
1-Feb-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,288879984637562,B00429N18S_SD_Consideration_CXT-Strong competitive ASIN_cpc_20251230,USD,61,0,0,0,0
12-Feb-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,382929702717487,B00429N18S_SD_Awareness_AUDT-Complementary category views remarketing_vcpm_20251230,USD,0,0,0,0,0
28-Dec-25,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,170474248246250,C.SD.Product.UPS.IntelligentLCD.CP1500AVRLCD3.B0BCMLLSHL,USD,36265,50,134.49,7,1829.6
10-Jan-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,414479380999065,B00429N18S_SD_Defense_CXT-Category-Segmented category brand_vcpm_20251230,USD,0,0,0,0,0
7-Jan-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,516203922618177,N.Keyword.Store.SB.UPS.StoreSpotlight,USD,0,0,0,0,0
25-Dec-25,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,335733425531216,N.Keyword.Video.SB.UPS.PFCSinewave.CP1500PFCLCD.B00429N19W,USD,3437,16,37.42,1,59.95
8-Feb-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,436092719312252,B.Keyword.Video.SB.UPS.2026.StoreSpotlight,USD,6810,33,141.44,0,0
11-Feb-26,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,560720574941385,B00429N18S_SD_Conversion_AUDT-purchase remarketing-promoted products-key promoted products_cpc_20251230,USD,0,0,0,0,0
16-Dec-25,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SB,517243732232070,B.RSOV.Products.SB.UPS.1500units,USD,1226,30,0,4,939.8
2-Dec-25,amzn1.ads-account.g.ap8yon1iwz0h9l6rda434b6db,CyberPower,,SD,296198269696664,C.SD.Keyword.UPS.IntelligentLCD.CP1500AVRLCD3.B0BCMLLSHL,USD,55167,56,234.21,0,0
